"County","month","year","spi1"
"Banner ",5,1998,-0.233979970216751
"Blaine ",5,1998,-0.1984933167696
"Boone ",5,1998,-0.703824639320374
"Box Butte ",5,1998,-0.562795102596283
"Boyd ",5,1998,-0.719297289848328
"Brown ",5,1998,-0.139137133955956
"Buffalo ",5,1998,-0.514267325401306
"Burt ",5,1998,0.056663665920496
"Butler ",5,1998,-0.295180827379227
"Cass ",5,1998,0.921202063560486
"Cedar ",5,1998,-0.77977979183197
"Chase ",5,1998,0.0869713351130486
"Cherry ",5,1998,0.23251773416996
"Cheyenne ",5,1998,0.0336727797985077
"Clay ",5,1998,-0.691466748714447
"Colfax ",5,1998,-0.310082495212555
"Cuming ",5,1998,-0.33654972910881
"Custer ",5,1998,-0.504896342754364
"Dakota ",5,1998,-0.465321481227875
"Dawes ",5,1998,-0.529695451259613
"Dawson ",5,1998,-0.415765166282654
"Deuel ",5,1998,0.135956421494484
"Dixon ",5,1998,-0.569289445877075
"Dodge ",5,1998,0.0462882183492184
"Douglas ",5,1998,0.856688618659973
"Dundy ",5,1998,-0.110478222370148
"Fillmore ",5,1998,-0.853819787502289
"Franklin ",5,1998,-0.988015115261078
"Frontier ",5,1998,-0.45949000120163
"Furnas ",5,1998,-0.742922365665436
"Gage ",5,1998,-1.19568467140198
"Garden ",5,1998,0.14246891438961
"Garfield ",5,1998,-0.373454004526138
"Gosper ",5,1998,-0.275053888559341
"Grant ",5,1998,0.545322060585022
"Greeley ",5,1998,-0.611397743225098
"Hall ",5,1998,-0.228120133280754
"Hamilton ",5,1998,-0.0719861760735512
"Harlan ",5,1998,-0.857564985752106
"Hayes ",5,1998,-0.310204476118088
"Hitchcock ",5,1998,-0.608959197998047
"Holt ",5,1998,-0.49780660867691
"Hooker ",5,1998,0.386891752481461
"Howard ",5,1998,-0.527038037776947
"Jefferson ",5,1998,-1.53111147880554
"Johnson ",5,1998,-0.776378750801086
"Kearney ",5,1998,-0.597096621990204
"Keith ",5,1998,0.416374415159225
"Keya Paha ",5,1998,-0.260673373937607
"Kimball ",5,1998,-0.0582160428166389
"Knox ",5,1998,-0.790417671203613
"Lancaster ",5,1998,0.224965110421181
"Lincoln ",5,1998,-0.0411706529557705
"Logan ",5,1998,-0.0764768347144127
"Loup ",5,1998,-0.375086545944214
"Madison ",5,1998,-0.804261088371277
"McPherson ",5,1998,0.49474972486496
"Merrick ",5,1998,-0.120617412030697
"Morrill ",5,1998,-0.230867251753807
"Nance ",5,1998,-0.518119156360626
"Nemaha ",5,1998,-0.822326421737671
"Nuckolls ",5,1998,-1.32903635501862
"Otoe ",5,1998,0.1696767359972
"Pawnee ",5,1998,-1.54548931121826
"Perkins ",5,1998,0.434741228818893
"Phelps ",5,1998,-0.500793218612671
"Pierce ",5,1998,-0.821112513542175
"Platte ",5,1998,-0.594556510448456
"Polk ",5,1998,-0.111083470284939
"Red Willow ",5,1998,-0.765900790691376
"Richardson ",5,1998,-1.51734113693237
"Rock ",5,1998,-0.174527645111084
"Saline ",5,1998,-0.805683135986328
"Sarpy ",5,1998,1.05830276012421
"Saunders ",5,1998,0.385490655899048
"Scotts Bluff ",5,1998,-0.392396688461304
"Seward ",5,1998,0.0465826503932476
"Sheridan ",5,1998,-0.252455145120621
"Sherman ",5,1998,-0.645124495029449
"Sioux ",5,1998,-0.413763403892517
"Stanton ",5,1998,-0.350741535425186
"Thayer ",5,1998,-1.47721242904663
"Thomas ",5,1998,0.05712965503335
"Thurston ",5,1998,-0.37177500128746
"Valley ",5,1998,-0.474622458219528
"Washington ",5,1998,0.463271081447601
"Wayne ",5,1998,-0.672887086868286
"Webster ",5,1998,-1.11144864559174
"Wheeler ",5,1998,-0.543584823608398
"York ",5,1998,-0.107731245458126
"Adams ",6,1998,-0.220757439732552
"Antelope ",6,1998,1.11456429958344
"Arthur ",6,1998,0.811737298965454
"Banner ",6,1998,-0.0319382064044476
"Blaine ",6,1998,1.53272318840027
"Boone ",6,1998,1.29820454120636
"Box Butte ",6,1998,0.292554050683975
"Boyd ",6,1998,1.17836785316467
"Brown ",6,1998,1.66868090629578
"Buffalo ",6,1998,0.515166461467743
"Burt ",6,1998,1.49334168434143
"Butler ",6,1998,1.12360107898712
"Cass ",6,1998,1.32393097877502
"Cedar ",6,1998,0.82743227481842
"Chase ",6,1998,-0.427479833364487
"Cherry ",6,1998,1.34061932563782
"Cheyenne ",6,1998,0.563273668289185
"Clay ",6,1998,0.265713453292847
"Colfax ",6,1998,1.19888913631439
"Cuming ",6,1998,1.30220723152161
"Custer ",6,1998,0.916265428066254
"Dakota ",6,1998,1.01369690895081
"Dawes ",6,1998,0.494991034269333
"Dawson ",6,1998,-0.136906772851944
"Deuel ",6,1998,0.871391296386719
"Dixon ",6,1998,1.07249689102173
"Dodge ",6,1998,1.32902920246124
"Douglas ",6,1998,1.47380435466766
"Dundy ",6,1998,-1.14435207843781
"Fillmore ",6,1998,0.631816685199738
"Franklin ",6,1998,-1.08821535110474
"Frontier ",6,1998,-0.823630034923553
"Furnas ",6,1998,-1.35489070415497
"Gage ",6,1998,1.12274086475372
"Garden ",6,1998,0.870392322540283
"Garfield ",6,1998,1.11702334880829
"Gosper ",6,1998,-1.07573103904724
"Grant ",6,1998,0.95087456703186
"Greeley ",6,1998,1.08878064155579
"Hall ",6,1998,0.784821748733521
"Hamilton ",6,1998,0.830168485641479
"Harlan ",6,1998,-1.28040134906769
"Hayes ",6,1998,-0.380369335412979
"Hitchcock ",6,1998,-1.149658203125
"Holt ",6,1998,1.22447800636292
"Hooker ",6,1998,1.24621546268463
"Howard ",6,1998,0.891305506229401
"Jefferson ",6,1998,0.737734735012054
"Johnson ",6,1998,1.22763681411743
"Kearney ",6,1998,-0.47376823425293
"Keith ",6,1998,0.738007962703705
"Keya Paha ",6,1998,1.5020238161087
"Kimball ",6,1998,-0.163228064775467
"Knox ",6,1998,0.896178722381592
"Lancaster ",6,1998,1.1010262966156
"Lincoln ",6,1998,0.327919185161591
"Logan ",6,1998,1.08886277675629
"Loup ",6,1998,1.34974014759064
"Madison ",6,1998,1.11657738685608
"McPherson ",6,1998,0.964015662670135
"Merrick ",6,1998,0.99532687664032
"Morrill ",6,1998,0.500375092029572
"Nance ",6,1998,1.01460492610931
"Nemaha ",6,1998,1.3200865983963
"Nuckolls ",6,1998,-0.657078504562378
"Otoe ",6,1998,1.22269868850708
"Pawnee ",6,1998,1.41601192951202
"Perkins ",6,1998,0.343594253063202
"Phelps ",6,1998,-0.871646642684937
"Pierce ",6,1998,0.842252850532532
"Platte ",6,1998,1.13665282726288
"Polk ",6,1998,1.07543122768402
"Red Willow ",6,1998,-1.27860617637634
"Richardson ",6,1998,1.25580251216888
"Rock ",6,1998,1.4913843870163
"Saline ",6,1998,0.798520505428314
"Sarpy ",6,1998,1.45543897151947
"Saunders ",6,1998,1.2929630279541
"Scotts Bluff ",6,1998,-0.115540497004986
"Seward ",6,1998,1.02620673179626
"Sheridan ",6,1998,0.767942488193512
"Sherman ",6,1998,0.924522340297699
"Sioux ",6,1998,0.238094657659531
"Stanton ",6,1998,1.13076591491699
"Thayer ",6,1998,0.142276242375374
"Thomas ",6,1998,1.41523337364197
"Thurston ",6,1998,1.37239336967468
"Valley ",6,1998,0.985097944736481
"Washington ",6,1998,1.57690358161926
"Wayne ",6,1998,1.08265960216522
"Webster ",6,1998,-1.14844000339508
"Wheeler ",6,1998,1.16260528564453
"York ",6,1998,0.933959424495697
"Adams ",7,1998,1.64070320129395
"Antelope ",7,1998,0.285703420639038
"Arthur ",7,1998,0.635109186172485
"Banner ",7,1998,1.83063673973083
"Blaine ",7,1998,0.441682785749435
"Boone ",7,1998,0.476422637701035
"Box Butte ",7,1998,1.52513217926025
"Boyd ",7,1998,0.600962400436401
"Brown ",7,1998,0.519078016281128
"Buffalo ",7,1998,1.13638079166412
"Burt ",7,1998,0.996524393558502
"Butler ",7,1998,0.245945885777473
"Cass ",7,1998,0.951502501964569
"Cedar ",7,1998,0.0832493752241135
"Chase ",7,1998,1.31710207462311
"Cherry ",7,1998,1.04563677310944
"Cheyenne ",7,1998,1.25237596035004
"Clay ",7,1998,1.67053246498108
"Colfax ",7,1998,0.797793626785278
"Cuming ",7,1998,0.834728538990021
"Custer ",7,1998,0.529439210891724
"Dakota ",7,1998,-0.0669974461197853
"Dawes ",7,1998,1.26848602294922
"Dawson ",7,1998,1.0073664188385
"Deuel ",7,1998,0.907575786113739
"Dixon ",7,1998,-0.0983342826366425
"Dodge ",7,1998,1.25269961357117
"Douglas ",7,1998,1.52574551105499
"Dundy ",7,1998,1.58364915847778
"Fillmore ",7,1998,1.24164545536041
"Franklin ",7,1998,1.6456960439682
"Frontier ",7,1998,0.813312709331512
"Furnas ",7,1998,1.42445933818817
"Gage ",7,1998,0.802728712558746
"Garden ",7,1998,0.513415217399597
"Garfield ",7,1998,0.490386307239532
"Gosper ",7,1998,1.25451552867889
"Grant ",7,1998,0.438323736190796
"Greeley ",7,1998,0.638039827346802
"Hall ",7,1998,1.15356731414795
"Hamilton ",7,1998,0.867607653141022
"Harlan ",7,1998,1.57987022399902
"Hayes ",7,1998,0.913665592670441
"Hitchcock ",7,1998,1.24390363693237
"Holt ",7,1998,0.398690730333328
"Hooker ",7,1998,0.544939696788788
"Howard ",7,1998,0.705554723739624
"Jefferson ",7,1998,1.11586320400238
"Johnson ",7,1998,0.522015810012817
"Kearney ",7,1998,1.55473506450653
"Keith ",7,1998,0.761309266090393
"Keya Paha ",7,1998,0.85378098487854
"Kimball ",7,1998,1.74067437648773
"Knox ",7,1998,0.339059829711914
"Lancaster ",7,1998,0.628072202205658
"Lincoln ",7,1998,0.804285228252411
"Logan ",7,1998,0.47037610411644
"Loup ",7,1998,0.341319561004639
"Madison ",7,1998,0.571839928627014
"McPherson ",7,1998,0.629343867301941
"Merrick ",7,1998,0.39472359418869
"Morrill ",7,1998,1.23929250240326
"Nance ",7,1998,0.4967240691185
"Nemaha ",7,1998,0.795297503471375
"Nuckolls ",7,1998,1.48376417160034
"Otoe ",7,1998,0.723753988742828
"Pawnee ",7,1998,0.830211460590363
"Perkins ",7,1998,1.2200174331665
"Phelps ",7,1998,1.46246755123138
"Pierce ",7,1998,0.241453602910042
"Platte ",7,1998,0.514634490013123
